mail_1@mailinator.com;0.25
mail_2@mailinator.com;0.90
mail_3@mailinator.com;0.46
mail_4@mailinator.com;0.25
mail_5@mailinator.com;0.77
mail_6@mailinator.com;0.74
mail_7@mailinator.com;0.42
mail_8@mailinator.com;0.70
mail_9@mailinator.com;0.79
mail_10@mailinator.com;0.69
mail_11@mailinator.com;0.84
mail_12@mailinator.com;0.32
mail_13@mailinator.com;0.21
mail_14@mailinator.com;0.55
mail_15@mailinator.com;0.82
mail_16@mailinator.com;0.53
mail_17@mailinator.com;0.31
mail_18@mailinator.com;0.72
mail_19@mailinator.com;0.03
mail_20@mailinator.com;0.53
student@ischool.edu;0.8
ed@ischool.edu;0.4
